Designator,Footprint,Quantity,Value,LCSC Part #
"BAT1, BUCK_IN1, BUCK_OUT1, PLANT1, SOLAR1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,5,S2B-PH-SM4-TB,
"C1, C10, C3, C5",1206,4,4.7uF,
"C11, C12",1206,2,100nF,
"C2, C4, C8, C9",0805,4,100nF,
C6,0805,1,1uF,
C7,0805,1,10uF,
D1,D_SOD-323_HandSoldering,1,1N4148WS,
J1,Altech_AK100_1x02_P5.00mm,1,Screw_Terminal_01x02,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
Q1,SOT-23,1,AO3401,
"R1, R2",0805,2,1K,
R10,0805,1,220,
R3,0805,1,1M,
"R4, R9",0805,2,10K,
R5,0805,1,330,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.6K,
R7,0805,1,2K,
R8,0805,1,3K,
SW2,SW_PUSH_6mm_H13mm,1,(EN),
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,TLC555xD,
U3,DIP-4_W7.62mm,1,PC817,
U4,ESP32 DevKit,1,~,
