Designator,Mid X,Mid Y,Rotation,Layer
BAT1,132.334,-41.575,180.0,top
BUCK_IN1,143.871,-41.575,180.0,top
BUCK_OUT1,155.448,-41.575,180.0,top
C1,126.131,-48.595,180.0,top
C10,170.307,-65.532,0.0,top
C11,170.307,-68.882,0.0,top
C12,127.508,-89.789,270.0,top
C2,165.6955,-49.596,270.0,top
C3,170.9025,-48.9995,270.0,top
C4,165.6955,-53.533,270.0,top
C5,170.9025,-54.2065,270.0,top
C6,117.856,-74.041,270.0,top
C7,127.381,-81.026,270.0,top
C8,114.3,-83.058,90.0,top
C9,127.381,-85.09,270.0,top
D1,114.3,-74.041,270.0,top
J1,177.4055,-97.79,90.0,top
J2,167.132,-110.49,90.0,top
J3,115.57,-100.711,0.0,top
PLANT1,108.885,-74.041,270.0,top
Q1,165.55,-99.4,180.0,top
R1,139.847,-49.357,0.0,top
R10,156.9,-93.75,180.0,top
R2,146.578,-49.357,0.0,top
R3,121.158,-74.041,270.0,top
R4,114.3,-78.486,90.0,top
R5,127.381,-76.978,270.0,top
R6,119.38,-87.376,0.0,top
R7,168.656,-105.918,180.0,top
R8,164.592,-105.918,180.0,top
R9,131.191,-89.789,270.0,top
SOLAR1,120.777,-41.575,180.0,top
SW2,167.513,-42.164,0.0,top
U1,156.591,-51.816,0.0,top
U2,120.396,-80.01,270.0,top
U3,156.955,-99.045,0.0,top
U4,152.093,-72.479,90.0,top
